委託店舗名,地域,住所,電話番号,委託チケット枚数,委託元
杉本商店,都島区,大阪市都島区内代町3-2-4,06-6951-2145,50,紀の国屋くっすー
秋鹿酒造,豊能郡,大阪府豊能郡能勢町倉垣1007,072-737-0013,10,十徳日本酒販売所
酒幸仁,大阪狭山市,大阪府大阪狭山市池尻中2-9-21,072-289-8783,30,菜々竈
そばの音,中央区,大阪市中央区松屋町3-21,06-6777-9259,10,菜々竈
焼き鳥the炭-ズ,西区,大阪市西区九条1-17-4 1F,080-3507-4312,10,菜々竈
君と米,西区,大阪市西区九条1-19-23,050-8881-7777,10,菜々竈
日本酒こころのバー,堺市,大阪府堺市北区中百舌鳥町5-795 東口BLD A棟 101号室,070-8989-8008,10,菜々竈
わらまさ,浪速区,大阪市浪速区難波中1-9-10,06-6631-9000,10,菜々竈
まさちゃん,浪速区,大阪市浪速区難波中1-11-11,080-6844-7314,10,菜々竈
ルーチャオロン,西区,大阪市西区江戸堀3-7−14,06-6479-3322,10,菜々竈
喜登,北区,大阪市北区南扇町2-3 木村ビル2F,050-3749-7191,10,杉本商店
焼き鳥クカバラ,北区,大阪市北区山崎町1-12 ラピタ扇町1F,06-6311-7888,10,杉本商店
日名田,中央区,大阪市中央区南船場3-9-6 Nippo 心斎橋ビル 1F,06-4708-7488,10,杉本商店
マキショウ,中央区,大阪市中央区谷町7-1-24 リップルカフェ,06-7410-2770,30,いなごや酒店
らくだ坂納豆工房,中央区,大阪市中央区谷町4-8-29,070-9029-1710,50,十徳日本酒販売所
酒のねごろっく,和歌山県,和歌山県岩出市畑毛49-1,0736-62-8377,10,にほん酒まえ畑
酒菜なないろ,中央区,大阪市中央区島之内1-14-15 天野ビル 1階,06-6120-7716,10,ご馳走ね音
おく,都島区,大阪市都島区片町2-1-37 ストークマンション 1F,06-6360-9482,10,ご馳走ね音
十徳日本酒販売所,吹田市,大阪府吹田市千里山西4丁目39 千里山ロイヤルマンション二番街 B1F,06-6310-2211,,主催
酒蔵なかやま,北区,大阪市北区本庄東2丁目15-2,06-6371-0145,,主催
いなごや酒店,豊中市,大阪府豊中市新千里東町3丁目3-120-108,06-6872-2612,,主催
日本酒うなぎだに,中央区,大阪府大阪市中央区心斎橋筋１丁目３−２８ 大喜ビル 1階,06-4963-2547,100,酒蔵なかやま
ちろりん,北区,大阪府大阪市北区浪花町４−１７,,10,酒蔵なかやま
小林商店,此花区,大阪府大阪市此花区春日出北２丁目６−２,06-6462-3881,20,酒蔵なかやま
山茶花,中央区,大阪府大阪市中央区東心斎橋2-8-23 イケダ会館 3F,090-2068-2295,10,酒蔵なかやま
南国ごはんとお酒 よりみちBAR まぶらい,都島区,大阪府大阪市城東区野江４丁目１４−４ ２階,06-6924-9160,10,酒蔵なかやま
大阪モノラル,福島区,大阪市福島区福島3-6-15 1F・2F,06‐6343‐7447,10,酒蔵なかやま
雷市,都島区,大阪市都島区東野田町３丁目１２−１０,06-6809-5773,30,酒蔵なかやま
はちどり,都島区,大阪市都島区都島北通1-20-2 マルニコーポ都島第１,06-6929-8107,30,酒蔵なかやま
オーヨドアベニュー,北区,大阪市北区大淀南1-3-19,06‐6136‐3882,5,酒蔵なかやま
お酒とおばんざいすいか,北区,大阪府大阪市北区本庄西２丁目１２−３,06-6375-1709,10,酒蔵なかやま
炭焼モータープール so-sin,北区,大阪市北区中津3-5-5 日本酒食堂SO-KEN 2F,06‐6376‐4700,50,酒蔵なかやま
焼鳥エナミ,北区,大阪市北区西天満5-6-8,06-6355-4447,50,酒蔵なかやま
鎗屋町 つぶらや,中央区,大阪市中央区鎗屋町1-1-10 山大ビル 1F～2F,06‐6809‐1423,10,酒蔵なかやま
なかなか,北区,大阪市北区浪花町1-22,06‐6373‐2037,30,酒蔵なかやま
千なり,北区,大阪市北区曽根崎新地1-2-24 ニューウメダビル3F,06‐6341‐0290,15,酒蔵なかやま
酒処さつき,中央区,大阪市中央区難波千日前11-6 なんばグランド花月,06-6641-5155,10,酒蔵なかやま
酒や肴　よしむら,北区,大阪市北区天神橋1-13-21,06-6353-4460,30,酒蔵なかやま
お料理 しん乃,北区,大阪市北区浪花町10-3,06-7506-1388,10,酒蔵なかやま
和食とお酒 蒼,北区,大阪市北区中津3-15-14,06-7777-5512,10,酒蔵なかやま
燗の美穂,中央区,大阪市中央区安堂寺町2-2-14,06-7222-2510,10,酒蔵なかやま
路地裏アバンギャルド,福島区,大阪市福島区福島5-6-3,06-6147-7840,20,酒蔵なかやま
賽,西区,大阪市西区阿波座1-15-19 エイトハウス 1階,06-6760-4182,10,酒蔵なかやま
和食とお酒 雅,中央区,大阪市中央区東心斎橋1-14-23 住吉ビル 2F,06-6244-2244,10,酒蔵なかやま
おでんとお酒 Tosui,北区,大阪市北区本庄西1-9-4,070-1373-0194,10,酒蔵なかやま
食堂まっすぐ,中央区,大阪市中央区心斎橋筋2-7-11 Nippo ロイヤルビル 1階,,20,酒蔵なかやま
立ち呑み あずき色のマーカス,北区,大阪市北区天神橋4-12-11,,30,酒蔵なかやま
炭や吟蔵,都島区,大阪市都島区都島区東野田町4-9-8,06-6351-8089,20,酒蔵なかやま
楠木フサヱ　本店,北区,大阪市北区梅田1-2-2,06-6344-2711,20,酒蔵なかやま
楠木フサヱ おもや,北区,大阪市北区梅田1-1-3,050-5485-6936,20,酒蔵なかやま
かんちゃん,北区,大阪市北区池田町1-31 サニーハイツ天満 1F,,10,酒蔵なかやま
立ち呑み ジャックとマチルダ,福島区,大阪市福島区福島5-6-8,,20,酒蔵なかやま
ＳＡＫＥＢＯＸさかした,此花区,大阪市此花区高見1-4-52,06 6461 9297,100,酒蔵なかやま
靱本町　がく,西区,大阪市西区靱本町1-14-15 本町クイーバービル,06-6479-3459,15,和　藤もと
あいなる,西区,大阪市西区江戸堀3-6-25 朝日プラザ江戸堀 1F,06-6444-4177,20,和　藤もと
あるべろ,西区,大阪市西区江之子島1-6-2 地下1階,,15,和　藤もと
柳田゛,北区,大阪市北区堂島1-3-8 堂島リンデンビル 2F,06-6136-3228,5,和　藤もと
立呑中津3-17-5,北区,大阪市北区中津3-17-5,080-7097-8467,6,和　藤もと
本町　Meetdish,中央区,大阪市中央区本町4-7-8 加地ビル1F,06-6266-6006,10,和　藤もと
巷談舎,豊中市,大阪府豊中市本町 5-13-44,06-6843-6948,10,和　藤もと
木になる酒店,京都府,京都府京都市下京区 京阪ビル 3F 高倉四条下ル,075-600-2033,100,十徳日本酒販売所
立ち喰い寿司 ゲンヤ倶楽部,淀川区,大阪市淀川区十三東3-28-4,,10,十徳日本酒販売所
宵酒肴 みをつくし,西区,大阪市西区西本町1-14-2 住吉ビル 2F,06-6536-8390,10,十徳日本酒販売所
日本酒カフェ　カノン,阿倍野区,大阪市阿倍野区西田辺町1-4-6 第２田辺マンション,06-7657-6407,20,いなごや酒店
とめ河酒店,岸和田市,大阪府岸和田市吉井町3-16-22,072-445-6034,10,ritmicita
日本酒とおつまみCHUIN,西区,大阪市西区新町1-30-3,080-7831-6462,10,ritmicita
肉ホルモン　てつ腕,浪速区,大阪市浪速区難波中1-17-16,06-6616-9322,10,菜々竈
やえがき,浪速区,大阪市浪速区難波中1-16-4 川西ビル 1F,06-6563-9339,10,菜々竈
日本酒バーひとつなぎ,住吉区,大阪市住吉区我孫子東2-4-24,06-6657-7754,10,菜々竈
豚と鴨おじさんと日本酒,西区,大阪市西区京町堀1-9-10,06-6444-7007,10,菜々竈
こめとはな,阿倍野区,大阪市阿倍野区阪南町1-50-23,06-7182-1309,5,菜々竈
天麩羅割烹　しえん,阿倍野区,大阪市阿倍野区昭和町1-2-19 ウィンベル昭和 町 1F,06-7652-4361,10,菜々竈
サケナード,浪速区,大阪市浪速区幸町1-2-8  82minatomachi 3F,050-1724-4764,10,カジノバ
日本酒SO-KEN,北区,大阪市北区中津3-5-5,06-4256-8243,10,炭や酒  學
焼鳥だんな,浪速区,大阪市浪速区難波中1-9-6,06-6647-8011,10,炭や酒  學
鰯屋 カタクチ ,天王寺区,大阪市天王寺区上汐3-7-15,06-6771-1048,10,炭や酒  學
穀雨,北区,大阪市北区西天満1-13-8 TSビル 2Ｆ,080-9015-8747,10,十徳日本酒販売所
きりもと酒店,豊中市,大阪府豊中市服部西町2-1-3,06-6862-7398,20,十徳日本酒販売所
鹿しま,吹田市,大阪府吹田市垂水町3-35-25 1FB 江坂第一レジャービル T&T,06-6310-0015,10,十徳日本酒販売所
チルコロ,北区,大阪府大阪市北区西天満4-10-3,06-6365-6758,10,木になる酒店
日本酒BARあさくら,京都府,京都府京都市中京区上大阪町518-2 大久ビル2F,075-212-4417,10,木になる酒店
角打ちあさくら,京都府,京都府京都市上京区東天秤町141-3,075-823-9066,10,木になる酒店
おでんすえひろ,北区,大阪市北区芝田2-2-8,06-6373-1714,10,和　藤もと
山中酒の店,浪速区,大阪市浪速区敷津西1-10-19  4F,06-6631-3959,50,十徳日本酒販売所
山中酒の店 エキマルシェ大阪,北区,大阪市北区梅田3-1,06-6348-3955,150,十徳日本酒販売所
日本酒セラーHARETOKE,福島区,大阪市福島区鷺洲2-14-24,06-7500-5966,30,十徳日本酒販売所
生島商店,吹田市,大阪府吹田市内本町3-34-2,06-6381-0458,20,十徳日本酒販売所
深井中野酒本店,堺市,大阪府堺市中区深井中町1889-4,072-278-0465,80,いなごや酒店
にこみたび,福島区,大阪市福島区吉野2-11-15,080-3827-5253,10,和　藤もと
立呑み しらいし,北区,大阪市北区角田町9-26,06-6484-9125,10,十徳日本酒販売所
うどんと日本酒 つるん、,東大阪市,大阪府東大阪市高井田本通7-6-10 2階,,20,十徳日本酒販売所
サケとスミビとロシュタン,浪速区,大阪市浪速区元町1-4-13,06-6585-7499,29,にほん酒しゅうろく
APE BREWING,中央区,大阪市中央区瓦町2-1-15  瓦町大都ビル 1F,06-7661-9443,10,カジノバ
sakaba雑波,中央区,大阪市中央区淡路町2-4-4,080-9749-3838,10,カジノバ
亥の子,奈良県,奈良県奈良市学園北1丁目1-12,0742-46-3320,10,木になる酒店
にほんしゅ酒場　酧,奈良県,奈良県生駒市谷田町1600-210アントレ生駒2F,070-1791-5178,10,木になる酒店
日本酒とおばんざい　新奈,奈良県,奈良県奈良市東向北町6,080-2408-4801,10,木になる酒店
日本酒を片手にーポンカター,北区,大阪市北区中崎1-11-7 2階,,10,いなごや酒店
日本酒餐昧うつつよ,中央区,大阪市中央区本町3-2-1 2F,06-6281-8322,50,スタンドうつつよ
日本酒うさぎ,中央区,大阪市中央区船場中央1-3  船場センタービル 2号館B252,06-6271-3369,20,青二才
やきとりおかげ,豊中市,大阪府豊中市北桜塚1-2-3,06-6846-3851,10,十徳日本酒販売所
凡夫 uenosaka,豊中市,大阪府豊中市上野坂2-1-7  パルシェ上野坂ビル,06-4865-9885,10,十徳日本酒販売所
tochi,箕面市,大阪府箕面市箕面6-4  41TS箕面BLD,072-734-7096,10,十徳日本酒販売所
旬菜 つむぎ,淀川区,大阪市淀川区西中島4-5-20  西中島ビル,06-6390-3099,10,かわ原
ラ・マンミーナ,都島区,大阪市都島区都島本通3-23-6  犬飼ビル 1F,06-6925-3833,20,紀の国屋くっすー
旬菜　まさか,中央区,大阪市中央区宗右衛門町6-1,06-7668-4022,5,菜々竈
燻製×日本酒OZ家,天王寺区,大阪市天王寺区上汐3-7-8  サンシャイン上汐 1F,06-6777-5526,5,菜々竈
立ち飲み　美月,西区,大阪市西区靱本町3-10-21  B1F 奥内阿波座駅前マンション,06-6446-1919,5,菜々竈
新潟をこめ,北区,大阪市北区小松原町 梅田地下街4-3号 ホワイティうめだ イーストモール内,06-6232-8356,5,菜々竈
互生,中央区,大阪市中央区西心斎橋1-8-22  第5エースビル 2階B,06-6121-6396,10,ご馳走ね音
おととや　こばやし,兵庫県,兵庫県西宮市甲風園1-7-9   ワークステージ西宮北口Ⅱ 3F,0798-63-8500,20,ご馳走ね音
京都捏製作所,京都府,京都府京都市中京区麩屋町通二条下る尾張町２２５ 第二ふや町ビル １F,050-5462-7328,10,菜々竈
本町　ジャポニカスタンド本町,中央区,大阪市中央区南本町４丁目１−１ ヨドコウビル B1,06-4708-8025,25,菜々竈
龍ノ蔵　上新庄,東淀川区,大阪市東淀川区瑞光１丁目５−１ アベニュー・マエダ １F,06-7165-5684,15,昼呑み酒場 SAKE ヤシマ
酒屋 へちかん,生野区,大阪府大阪市生野区中川2-1-3 ライオンズマンション 今里 1F奥,06-6752-8840,20,日本のお酒とゆう屋
だいどこ なか,福島区,大阪府大阪市福島区福島7-7-7 永井ビル 1階,06-7651-7275,10,十徳日本酒販売所
地酒と旬菜 ちそうや,淀川区,大阪府大阪市淀川区東三国4-4-21,06-6335-4555,10,十徳日本酒販売所
創作和食 とよ吉,豊中市,大阪府豊中市上野西1-8-17,06-7651-3072,10,十徳日本酒販売所
ひょうたん屋,東大阪市,大阪府東大阪市神田町19-8,072-987-1138,10,炭や酒  學
せと果,兵庫県,兵庫県神戸市中央区元町通3-15-11,070-8595-0492,15,和　藤もと
日本料理 輪,兵庫県,兵庫県神戸市中央区下山手通3-12-1 棟110,078-331-7657,20,和　藤もと
蕎麦に酒 しろや,豊中市,大阪府豊中市服部西町1-1-6,06-4866-6406,10,十徳日本酒販売所
おうちごはんgrin,吹田市,大阪府吹田市山田東4-41,090-8212-5106,10,十徳日本酒販売所
日本酒と肴 くら美,堺市,大阪府堺市堺区竜神橋町1-6-4,070-7485-0322,20,いなごや酒店
悦酒場,堺市,大阪府堺市東区北野田1084 ベルヒル北野田,090-9710-2038,30,いなごや酒店
Kitchen Blossom,堺市,大阪府堺市西区上野芝向ヶ丘町1-2-3,072-277-0640,10,いなごや酒店
蔵酒の明治屋,淀川区,大阪府大阪市淀川区十三本町1-21-7,06-6301-5765,20,いなごや酒店
登酒店,奈良県,奈良県天理市田井庄町555,0743-62-0218,15,いなごや酒店
平井商店,滋賀県,滋賀県大津市中央1-2-33,077-522-1277,10,いなごや酒店
だし屋凸凹,西区,大阪府大阪市西区靱本町１丁目１３−７ 協和信濃橋ビル １階,06-6136-8809,10,かけはし
旬味いやさか,淀川区,大阪府大阪市淀川区十三東2-6-8 昌和ハイツ1F,06-6305-8860,8,酒菜とうどん飩燗
割烹八彩,淀川区,大阪市淀川区宮原２丁目１３−１ サンパレス新大阪,06-6152-7665,8,酒菜とうどん飩燗
酒と肴カキツバタ,吹田市,大阪府吹田市江の木町２−１５ ２-１５ １F,06-4798-5666,8,酒菜とうどん飩燗
小林商店,此花区,大阪市此花区春日出北1-3-8,06-6462-3881,20,酒蔵なかやま
Osaka Sunny Osaka,中央区,大阪市中央区東心斎橋2-8-12ゴールドセンター２F,06-6212-5202,10,ritmicita
ひとてま,淀川区,大阪市淀川区十三東4-10-2,070-3340-6640,20,十徳日本酒販売所
