slug,cuisineImage,title,storeAddress,representative,tel,storeDescription,initiatives,brewery,storeMessage,storeX,storeInstagram,storeFacebook,breweryName,sakePref,representativeBrand,sakeAddress,breweryMan,breweryDescription,breweryThoughts,aboutRestaurants,breweryMessage,sakeX,sakeInstagram,sakeFacebook,cuisine,cuisineDescription,sakeName,cuisinePrice,sakePrice,setPrice,sakeTemp
ao,ao.jpg,和食とお酒 蒼,大阪府大阪市北区中津3丁目15-14,,675022713,季節の和食と日本酒を、肩ひじ張らずに楽しめるカウンターの店。冷酒から燗酒まで30種以上揃え、料理との相性を見ながら一杯一杯ご提案しています。,味わいの幅が広い日本酒を、どれでも気持ちよく楽しんでもらえるよう、季節感のある和食を用意しています。派手さより相性重視で、酒と料理が自然に進む関係を大切にしています。,,蒼の料理は、出汁と季節感で日本酒を受け止めるのが持ち味です。今回は梅津酒造さんの個性的なお酒に合わせ、イベント限定の一皿をご用意しました。酒と料理の相性、ぜひ楽しんでください！！,,washoku_ao_2023,,梅津酒造有限会社,鳥取県,冨玲,鳥取県東伯郡北栄町大谷1350,,"慶応元年創業。鳥取県北栄町の酒蔵です。
製造量は100～200石ですが、純米酒とお燗酒を大切にしています。
梅津酒造からしか得られない、味わいとぬくもりがあります。","一生を共にできるお酒でありたいと思っています。
そのために「基本を大切に、人にできる事を精一杯やりきる」それが梅津の夢であり酒造りです。","人ですね。もう、大将の人柄が最高です。お料理とお酒への熱が、蔵にも伝わってきます。
蔵の先代から、現在までの梅津を知るご縁の深さにも、感謝しています。","梅津と蒼で、日本酒の新しい魅力発見してください！
ブースで待ってまーす！！",,umetsu_sake,,蓮根まんじゅう　とろ〜りカニ餡かけ,もっちり揚げた蓮根まんじゅうに、とろ〜りカニ餡をたっぷり。隠し味に梅津酒造のお酒を忍ばせ、出汁の旨みで日本酒を飲む感覚を大切に、季節感も感じる一品です！,冨玲　上方オリジナル,800,500,1200,"お燗,常温"
aonisai,aonisai.jpg,青二才,東京都中野区中野3-35-7,,03-5340-1231,"日本酒をもっと気軽に！と、2013年より東京中野で営業しております！
毎日料理は旬を追って変わり、日本酒も10升程度が入れ替わりいつお越しいただいても新しいお酒お料理に出会えます！
大阪の皆様どうぞよろしくお願いします！",こんなに美味しく多様性のある日本酒をもっと多くの人に呑んでもらいたい！日本酒のハードルを下げるべく、少量（3勺）から、均一価格、敢えての定番を作らず日々変わるメニューで、普段日本酒を飲まない人へ日本酒との新しい出会いを提供してます。,,"大阪の皆様よろしくお願いします！
最高の日本酒日和になることを心より祈っております！そのスタートにピッタリのフレッシュな冷たいお酒を用意してお待ちしてます！お会いできるのを楽しみにしております！",,nakano_aonisai,,阿部酒造株式会社,新潟県,あべ,新潟県柏崎市安田3560番地,,"1804年創業。2015年廃業予定の蔵に6代目の阿部裕太が戻り「あべ」ブランドを展開開始。若い蔵人等と共に、


1.リストランテの最初から最後まで
2.常に発酵を楽しむ
3.""""圧倒的に""""うまいを目指す
4.常に挑戦者であれ
という製造方針を軸に酒を造り、2021年までに製造数量を9年で8倍まで拡大。2021年より酒蔵とのタッチポイントを増やすべく「ノンアルコールドリンク製造販売事業」を開始。第一弾として酒蔵の伝統的な技術「米麹」作りを生かし米麹甘酒を使った「クラフトコーラシロップ」の販売開始。また、2017年より業界の活性には新たな造り手の登場が必須と考え、若手蔵人の育成にも力を入れ始める。",原材料は新潟県、特に蔵のある柏崎市にこだわって原料を使用しています。 酒造りのコンセプトは「発酵を楽しむこと」です。 発酵に対する知的好奇心を爆発させ、“圧倒的に”うまいプロダクトを造ることを目指します。また、阿部酒造という屋根の下に、多種多様な酒造りのクリエイターが集う集団を目指しています。 さらに、阿部酒造から生まれるお酒やブランドは、「おいしくてワクワクする」ことを目指しています。 蔵が目的地になり、そして柏崎の人の自慢になり、柏崎を酒蔵流に活性化させることを目指します。,,いつも阿部酒造を応援いただきありがとうございます。皆さまの食卓や大切な時間に寄り添える一杯を、これからも情熱と挑戦をもって醸し続けます。当日は共に乾杯しましょう。,abesakebrewery,abesakebrewery_yutaabe,,鱈と蓮根の揚げ出しつくね~レモン粒マスタード~,外はカリッと！中はふわふわとシャキシャキ、鱈の上品な旨味が合わさったつくね団子に、鶏清湯の餡をかけて。仕上げにレモンを感じさせる、あのONE POT WONDERのマスタードをたっぷり乗せてどうぞ！！,あべ　柱焼酎仕込み清酒,700,600,"1,200",冷酒
enya,enya.jpg,焼鳥 えんや,大阪府大阪市北区豊崎３丁目６−１１,,06-6476-8443,"焼鳥えんや　中津店の紹介。
ビルの1階に店を構える木を基調とした店。カウンター６席と団体様に使っていただけるテーブル席もご用意しております。地鶏や銘柄鶏を紀州備長炭で焼き上げる本格焼鳥がアラカルトで味わえ、燗酒も通年ご用意。毎年蔵にも手伝いに行かせていただき、焼鳥と食中酒をメインに、お客様へ【おいしい】をお届けしております。",燗酒、食中酒をメインに置かせていただき、あつあつの焼鳥を日本酒と一緒に。日本酒のイベントも年数回参加させていただき、料理も日本酒にあうように。この料理に合う日本酒は？などの勉強会も【マキショウ】様【燗の美穂】様と一緒に。蔵にも毎年手伝いにいかせていただき、通年オリジナルの日本酒もご用意しております。,,毎年毎年参加させていただき、ほんとうにありがとうございますっ！！おいしい、楽しい焼鳥を最後まで笑顔で提供させていただきますので、来場された際には是非ともあつあつの焼鳥を召し上がってください！！,,yakitori_enya,,株式会社 桑原酒場,島根県,扶桑鶴,島根県益田市中島町ロ171,,"蔵のある益田市は、島根県の西端に位置し、日本海側では比較的温暖な気候です。
蔵の近くを流れる「高津川」は清流日本一に輝いた川であり、この自然からの恵みである清冽な川の伏流水を用いて醸しています。",華やかな香りは求めず、米の旨みと味わいを感じさせられ、冷たくして飲むだけでなく温めることにより「食が美味しくなり、ゆるゆると呑めるお酒」を目指しています。,毎年酒蔵まで酒造り研修に来ていただき、またスタッフ対象のお酒の勉強会を開催されるなど、食との相性を考えられています。焼鳥、野菜串巻きなど様々な料理とお酒を楽しめるお店です。,"今年も上方日本酒ワールド用にえんやオリジナル「ブレンド純米酒」を準備しています。
美味しい料理と一緒にお楽しみください。",,fusozuru,,,,,,,,"お燗,常温"
kajinoba,kajinoba.jpg,カジノバ,大阪市中央区備後町3-1-2日宝アトラスビル1F,,06-6232-7977,"カジノバです。
自称「日本酒酒場のタワーレコード」
「食、場、人」
メジャーからインディーズの中からセレクトし、入り口から出口までをなるべくポップに表現。日本酒ラバーを増やすため日々躍動中。
料理は和食をベースに、幅広いエッセンスを取り入れカジノバ色にアレンジ。スターバックスのようなカフェ使いからしっかり飯まで楽しみ方もフリースタイルで。",基本店は普段は幅広くフリースタイルですが、日本酒に合うメニューを様々なジャンルで酒場に落とし込んで楽しんでいただきたいと思ってます。,,"1番賑やかな店探してください！それはきっとカジノバです！
皆様仁井田とカジノバ屋台お楽しみに！！",,hanarenomicajinova,,仁井田本家,福島県,にいだしぜんしゅ・おだやか・田村・百年貴醸酒,福島県郡山市田村町金沢高屋敷139,,創業は1711年（正徳元年）。田村町の豊かな自然とともに、十八代にわたって代々酒造りが行われてきました。1967年に日本初の「自然酒」を発売し、創業300年を迎えた2011年には自然派の酒蔵として300年前の製法に戻って土壌の特徴を映す自然酒を追究していくことを宣言し、100%自然米、100%純米造り、100%天然水、100%生酛の『全量自然米蔵』,「我々の仕事は、”つないでいく”ことがとても大事。先祖が紡いできてくれたものに何をプラスできるのかを常に考えています。次の代に何を残したいか。100年後に良くなるために、今何をすべきなのか。そんな思いを巡らせながら、伝統的な自然酒造りを絶やさぬよう日々研鑽を積んでいます」,"気心の知れたチームカジノバと、この素晴らしい舞台でタッグを組めることを心から嬉しく、光栄に感じております。
当日は、信頼し合える関係だからこそ実現できる、『しぜんしゅ』と『料理』の「響き合い」を皆さまに体感していただければ幸いです。
スタッフ一同、皆さまのご来場を心よりお待ちしております。",次生まれるなら大阪に生まれたいと思ってるくらい大好きな大阪！！！大好きな大阪で大好きなカジノバとイベントだなんて、終始ハイテンションでお待ちしております！ カエルのステッカー配りまくってるのでブースに遊びに来てください‼️ガチャやオリジナルグッズも販売しますよー！,,niidahonke,,筍と帆立のバター醤油グラタン,濃厚な白味噌ベースのグラタンにみんな大好き帆立のバター醤油焼きのコンボ。春の香とバター醤油の食欲そそる香りで会場の匂い漂わせたいと思います！,にいだしぜんしゅ　カジノバスペシャル,600,500,1000,"冷酒,お燗"
kazutoyo,kazutoyo.jpg,穂波町 和豊,吹田市穂波町3-21西岡ビル1F,,06-61708991,"2026年で丸10年、吹田で地域のお客様に日本酒とシンプルな和食を楽しんでもらおうとボチボチやってます。
これからも１人でも多くのお客様に日本酒の良さを伝えていきたいと思ってます。","シンプルな出汁の効いた料理を目指しています。
それに合うお酒、
美味しさは勿論、蔵元さんに訪問したその土地の雰囲気等をお客様に伝えていきたいと思ってます。",,お客様からの美味しかったやありがとうが素直に嬉しいです。その声を頂けるように精一杯頑張ります。みんなで楽しく盛り上げていきましょう。,,honami_kazutoyo,,有限会社　太田酒造場,鳥取県,辨天娘（べんてんむすめ）,鳥取県八頭郡若桜町1223-2,,若桜（わかさ）町は鳥取県の南東部に位置し、氷ノ山（ひょうのせん）という山の麓にある町です。広さは大阪市と同じぐらいの面積ですが、その95％が森林で、冬は寒く雪が１m積もります。そういう水の豊富な土地で私たちは酒米を作り、お酒を造っています。　※ふりがなを（）に入れているので、可能であれば振ってください,若桜町産の酒米のみを使用し、農家さんが異なれば別々のタンクに分けて仕込み、ブレンドせずに出荷するスタイル。 お米を１粒たりとも無駄にせず、余すことなく酒にしています。 飲んでいるとお腹がすいてくる「食を呼ぶ酒」です。,吹田の穂波町にある和食と日本酒のお店で、店を開かれる前からの知り合いで、蔵にも何度も来てもらっています。ゴーアラウンドでタッグを組ませてもらったこともあり、息はバッチリ！当日を楽しみにしています！,"本当に美味しいものを食べようと思ったら、その料理の隣にはお酒があると考えています。お酒だけではたどり着けない場所、料理だけでもたどり着けない場所へようこそ。
instagram @bentenmusume.sake",,bentenmusume.sake,,温かい酒盗のクリームで和えるお野菜達,酒盗の出汁をとり、生クリームでまろやかにして隠し味には白味噌を使い、こくのある味わいに仕上げ食材と合わせています。その酒盗クリームとオリジナルブレンドの辨天娘の相性を楽しんで下さい。,辨天娘吟醸ブレンド和豊ver.上方日本酒ワールド2026,800,500,1200,"お燗,常温"
kukabara,kukabara.jpg,焼き鳥 クカバラ,大阪市北区山崎町1-12 ラピタ扇町1F,,06-6311-7888,"天満駅・扇町駅からわりと近めの自称”横天満”にひっそり佇む、和酒偏愛型の焼鳥屋さんでございます。
お気軽酒場のフリして、知る人ぞ知る“こだわりの異常性”をご愛顧いただき7年になります。","肉厚な焼鳥串で本格定番をおさえつつ、ちょい尖った創作料理を四季折々開発しております。たまに迷走する可愛げもあります。
和酒を偏愛、なるべく蔵元に会い味わいやラベル以上の情報で体験を繋げるのが私たちの意義です。",,"皆様、年に一度の“祭り”です。
神輿を担ぐのは「そう、アナタですぅ！！」
すいません興奮して申し遅れましたが初めて参加させていただきます焼き鳥クカバラと申します。お手柔らかにどうぞよろしくお願い申し上げます。",,yakitori_kookaburra,,光栄菊酒造,佐賀県,光栄菊,佐賀県小城市三日月町織島2602番地3,,光栄菊酒造がある佐賀県小城市は佐賀県の中央に位置し、北は筑紫山地、南に有明海を望みます。蛍が乱舞する清流「祇園川」が流れており、蔵の周囲でも蛍が光を輝かせて舞う姿を見ることができます。,光栄菊では旨味・甘味・酸味をバランスよく表現するよう心がけていますが、特に旨味と酸味があって、スッと切れるお酒を目指しています。生酒は、開栓直後はガス感をともなったフレッシュな味わい、開栓後は味乗りや丸みを帯びた味わいになるなど、変化も楽しんでいただけるお酒になっています。お燗でも楽しめますので、ぜひ試してみてください。,今回のために実際に酒蔵まで足を運び、お酒を丁寧に確かめる姿に、真摯な姿勢を感じました。佐賀の食材についても熱心にリサーチされており、今回のコラボでどんな表現になるのか、私達も楽しみにしています。,佐賀から初参加の光栄菊酒造です。イベント限定のお酒を出しますので是非ブースに来てください！,,koueigiku,,酒粕味噌出汁で温泉湯豆腐〜彩り鶏そぼろ餡掛け〜,佐賀の嬉野名物である“温泉湯豆腐”を光栄菊の酒粕に味噌を合わせた出汁で仕上げ、当店得意の鶏そぼろに彩り豊かな食材と愛を注いでかければ「もはや口の中が佐賀」。,光栄菊 黄昏Orange うすにごり 無濾過生原酒 上方限定Ver.,700,500,1000,冷酒
kussu,kussu.jpg,紀の国屋くっす〜,大阪市都島区都島本通3-13-16,,06-6922-1776,昨年と同じ,"当店は無濾過生原酒を主として扱っており、旨味がしっかりしている日本酒が多く、その日本酒に合う料理を提供し、料理と日本酒とが互いに引き立ち合うようにしたいと思っています。
また、当店で扱っている日本酒は、出来るだけ造ってる方にお会いして、杜氏さんや蔵人の方の想いや情熱に共感し、提供する側としてもその想いも一緒にお客様に提供したいと考えています。",,上方日本酒ワールドを通じて知らないお酒や酒蔵、お店との出会いを楽しみ、また新たな扉を開いて下さると嬉しいです！,,,,丸井合名会社,愛知県,楽の世,愛知県江南市布袋町東202,,愛知県尾張北部、江南市の酒蔵です。江戸期、寛政二年（1790）創業、蔵元杜氏と数名の蔵人で和気あいあいと酒造りをしています。,"あれこれ色んなお酒は造りません。
吟醸も造りません。全量を山廃、無濾過、四段仕込で楽の世らしい芳醇濃厚な酒質に仕上げます。",数年前、楽の世として初めて大阪の酒イベントに参加させて頂いた時に組ませて頂いたお店です。またタッグを組めて嬉しいです！,大阪ではまだあまり知られてませんので、楽の世今のうちに知っておいた方がいいですよっ！！,,mikiooo82,,春野菜香る酒粕焼売,豚肉は挽き肉と大きめに切った物を合わせて食感が出るようにして、具材に菜の花や筍などの野菜を入れて季節感を出し、楽の世の酒粕、熟成みりんなどの調味料を使い、しっかりした酒質の楽の世のお酒に合うように仕上げました。,楽の世山廃純米,500,500,,"冷酒,お燗"
kokuu,kokuu.jpg,穀雨,大阪市北区西天満1−13−8−2F,,080-9015-8747,穀雨（こくう）です。北浜／淀屋橋から徒歩10分、堂島川沿いの静かな場所にある落ち着いた雰囲気のお店です。昭和38年創業の小料理屋として「普段の和食と普段の日本酒」が身上です。,私たちの料理や日本酒への想い、考え方を、ぎゅっとコンパクトに詰め込んだスローガン：「気軽にDEEP、ヘルシーにオイシー、和の食卓で日本酒原点回帰」。,,蔵元と交流もできるこうしたイベントに参加したらきっと新しい「推し」が見つかると思います。,,hokryu_kokwu,,藤井酒造株式会社,広島県,龍勢 / 夜の帝王,広島県竹原市本町3-4-14,,広島・竹原の瀬戸内沿岸にある酒蔵です。温暖な気候と花崗岩層を通る軟水に恵まれ、料理の味わいを引き立てる、穏やかで主張しすぎない酒質を大切にしています。,すべての酒を生酛造り、蔵付酵母による自然発酵で仕込んでいます。土地の味わいを軸にしながら、現代の技術も取り入れ、その年ごとに更新される酒を目指しています。,穀雨さんとは、コロナ禍の日本酒イベントで酒を選んでいただいたことがご縁です。料理への妥協のない姿勢と温かな人柄に惹かれ、今回もご一緒できることを嬉しく思っています。,初参加です。有名な上方日本酒ワールドにお声がけいただき光栄です。大阪の皆さまと直接お会いできるのを楽しみにしています。当日は気軽に声をかけてください。,,ryusei_sake,,じゃがいも饅頭のあんかけ,じゃがいもの生地で豚肉と玉ねぎのそぼろを包み、香ばしく揚げてから、あんかけにしました。,龍勢「ゆらぎの凪」八反・酵母無添加生酛,600,400,,"お燗,常温"
sakabakan,sakabakan.jpg,ふらり酔処 酒場感,沖縄県那覇市古島1-23-2譜久原ビル1-C,,098-882-1339,"純米燗酒を中心に、ひとひねりした酒のアテ
老若男女楽しめる居酒屋です",美味しいお燗酒を気の利いたアテと一緒に楽しんでもらえるようなお店を目指してます,,"メンチカツ沢山準備してます！！
美味しいお酒とぜひ楽しんでください！！",,sakabakan098,,株式会社　杜の蔵,福岡県,杜の蔵、独楽蔵,福岡県久留米市三潴町玉満2773,,福岡県産米と天然伏流水のみで醸す全量純米蔵。自社田や契約田の米作りに携わり【米作り→日本酒造り→酒粕焼酎造り→(焼酎粕を堆肥化)→米作り…】の自然に優しい循環取組みも地元農村文化かつ自社源点として行っています。,インパクトより“食と体になじむ酒”を念頭におき、目指す酒質は①自然派の味わい、②各商品に適した貯蔵、③現代の幅広い食との相性◎です。香味バランスが良く、余韻も楽しめる純米酒造りに努めています。,『酒場感』様において酒の会を行ったこともあり、弊社の酒との相性をしっかり考えてペアリングを楽しめる食を提供していただける点が素晴らしいとの印象です。今回もたっぷり楽しめると思っています。,上方日本酒ワールドには久しぶりの参加となります。食と酒と合わせる楽しみを強く意識しているブースとして期待してください。皆さまをお待ちしています！,,morinokura1898,morinokura,あぐー豚と島らっきょのスパイスメンチカツ,旨みが豊富な沖縄県産のあぐー豚と辛味、強い香りが特徴な島らっきょを使用したメンチカツです！！クミンなどのスパイスで味付けしておりお酒がすすみます！！,杜の蔵　独楽蔵　TAHITO,600,600,"1,000","お燗,常温"
syuuroku,syuuroku.jpg,にほんしゅ屋しゅうろく,京都府京都市下京区石不動之町682-3 もみじの小路H7,,050-8889-1441,燗酒とおでん、酒肴のお店です。,身体に美味しいをモットーに、かつ自然と杯がすすむお料理を作ることを心がけております。,,皆様にコイクマと燗酒の魅力をお伝えできれば幸いです。,,nihonshuya_shuroku,,無所属,放浪中,コイクマ,放浪中のため、不定,,10年前からその時々勤務した蔵で醸してきたので、特定の酒蔵ではありません。今まで福島県の蔵から始まり去年は福井、今年は鳥取で醸している珍しい形態です。,私達蔵人夫婦が自分が飲みたい酒を醸したい思いで始めたのが、コイクマです。オール生酛造りのコイクマ、お燗で飲んでほっこりした気持ちになってほしいとの思いから、ラベルはほんわか系ですが、中身は？？,お店の奥には50本以上のコイクマを飼育する立派なコイクマ研究家です。色んなコイクマの顔を知るしゅうろくさんがこのコラボでどんなお料理でコイクマと寄り添ってくれるか、私達も大変楽しみにしております。,"関西大型イベント初参加のコイクマです。初めましての方が大多数かと思いますので、是非コイクマをお燗酒でお楽しみください。
今回のお酒は福井生まれのクマです。
当日は私達夫婦でお待ちしております！",,koikuma.sake,,マトンきつね〜酒粕トマトソース〜,"スパイスを効かせたマトン(成羊肉)のミンチを油揚げに詰め込んだ蒸し料理。
肉汁を油揚げが吸い上げ、和とエスニックが絶妙にマッチ。
仕上げにコイクマの熟成酒粕とトマトを煮詰めたソースを合わせました。",コイクマ 24番熊＆25番熊　生酛純米加水火入れ五百万石,700,500,"1,000","お燗,常温"
